gene_id,HNRNPK,NELFE,PKM
ENSG00000007545,0,0,-0.0025191461746835
ENSG00000007866,0,-0.00262121933018445,-0.000913233483980107
ENSG00000007908,0,0,0
ENSG00000007923,0,-0.00138437873538151,-0.000592352736073908
ENSG00000007933,0,-0.00737391997980661,-0.00320009518031492
ENSG00000007944,0,-0.00389168425793063,-0.000532364772037315
ENSG00000007952,0,0,0
ENSG00000007968,0,-0.00172783484798086,-0.00488554196495505
ENSG00000008018,0,-0.000534845033439942,-0.000415098709516998
ENSG00000008056,0,-0.000883471578751562,-0.00105153278230267
ENSG00000008083,0,-0.00394278914127562,-0.00181919469102564
ENSG00000008086,0,-0.00401579650182344,-0.000708995936831663
ENSG00000008118,0,0,0
ENSG00000008128,0,0,-0.000590418469430766
ENSG00000008130,0,-0.00113837320722932,-0.00227433473569199
ENSG00000008196,0,-0.00156300088313691,-0.00051846388183568
ENSG00000008226,0,0,0
ENSG00000008256,0,-0.00176913737781518,-0.00391737856490481
ENSG00000008277,0,-0.00106922211794892,-0.00153468990357906
ENSG00000008282,0,-0.00217301123225276,-0.00162595904417687
ENSG00000008283,0,-0.00281058154616093,-0.00236870700446543
ENSG00000008294,0,-0.00351485934914333,-0.00261758025430067
ENSG00000008300,0,-0.00116292639111674,-0.00283348356185112
ENSG00000008311,0,-0.000701289683551138,-0.0043862122659419
ENSG00000008323,0,-0.00355326451032455,0
ENSG00000008324,0,-0.0018902602377911,-0.00142491197369067
ENSG00000008382,0,0,-0.00129169435441241
ENSG00000008394,0,-0.0056974859857347,-0.000793979797470757
ENSG00000008405,0,-0.00230245410643834,-0.00160388374940528
ENSG00000008438,0,0,-0.0118914541187983
ENSG00000008441,0,-0.0065943221737809,-0.000907056826866485
ENSG00000008513,0,-0.00318138099862961,-0.00294275450421598
ENSG00000008516,0,-0.00312321137573027,-0.00615381749009723
ENSG00000008517,0,0,-0.00122768396418659
ENSG00000008710,0,-0.00352579839540764,-0.0032088878145068
ENSG00000008735,0,-0.00220840856311547,-0.00251340686761926
ENSG00000008838,0,0,-0.000430832826164472
ENSG00000008853,0,0,-0.00193232544811183
ENSG00000008869,0,-0.00332146364799495,-0.00218976940367578
