Pathway,NES_K562,NES_NPC,deltaNES_K562_minus_NPC
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-1.0753980626494128,1.2474025101582056,-2.322800572807618
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,1.0464473905037897,1.1559527193471293,-0.10950532884333963
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.2068985771273084,2.4339165569836614,-0.22701797985635297
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,1.5134233120753484,1.5976108098355153,-0.08418749776016687
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,1.540954459170489,1.9414271080454708,-0.4004726488749819
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES,1.3457141936939512,1.4566174548773314,-0.11090326118338023
REACTOME_ANTIMICROBIAL_PEPTIDES,1.174034799311184,-0.6421664891355879,1.8162012884467718
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.9806354471618254,1.5324960216239238,-0.5518605744620985
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,-1.6984447568333783,-2.076499656189632,0.3780548993562538
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,-1.5947365736546049,-1.9881191140432661,0.3933825403886613
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,2.1984109805284127,2.4709108566212254,-0.2724998760928128
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,1.855915091910364,2.10293319884493,-0.24701810693456605
REACTOME_APOPTOSIS,2.369510635390069,2.5979639963327594,-0.22845336094269042
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,-1.377235760357908,-1.1172403960089583,-0.25999536434894965
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,1.9703948932978739,1.944807511151005,0.025587382146868842
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,-0.8761807245836924,-0.8315368892623085,-0.04464383532138394
REACTOME_APOPTOTIC_EXECUTION_PHASE,1.932102292847466,1.9548767905995417,-0.02277449775207563
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,-0.9730365368817512,-1.1112928952082797,0.1382563583265285
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,1.035840609403179,1.1279961727653565,-0.09215556336217756
REACTOME_ARACHIDONATE_METABOLISM,1.1562447132741192,1.3234638079303114,-0.16721909465619222
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,1.5497066921320803,-1.129968897803875,2.6796755899359557
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,1.095328544508138,0.8630377921099329,0.23229075239820507
REACTOME_ASPIRIN_ADME,0.9638879802033179,0.9469652989345405,0.016922681268777384
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,1.0072774766538748,-1.0068443125935376,2.0141217892474126
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,-1.001357728147547,-1.0423657362875645,0.04100800814001748
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,-1.2273328414405962,-1.4264058345195456,0.19907299307894943
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.9529474586674014,-1.1962054760358565,2.149152934703258
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,-1.2267015032615962,-1.1388410782357898,-0.08786042502580638
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,1.435281760781876,1.7080932504746529,-0.2728114896927769
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,2.6999743987418117,2.8247413806562465,-0.1247669819144348
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-1.436323016615939,-1.252938810843516,-0.1833842057724231
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,1.2791952800465183,1.2562125873031074,0.022982692743410915
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS,0.926490264368872,0.9337204644539898,-0.007230200085117766
REACTOME_ATTACHMENT_AND_ENTRY,1.3990678611937015,-1.359786865679155,2.7588547268728565
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS,-1.0383814901378596,-1.4298260202182755,0.3914445300804159
REACTOME_ATTENUATION_PHASE,1.4970190033279185,1.360162501453067,0.13685650187485154
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,2.954133232471799,3.181532805059332,-0.22739957258753307
REACTOME_AURKA_ACTIVATION_BY_TPX2,1.4207843066585684,1.5101771888247182,-0.08939288216614982
REACTOME_AUTOPHAGY,1.7013166723296758,1.6604891484789335,0.04082752385074229
REACTOME_AZATHIOPRINE_ADME,-0.7916078978243875,0.9772570222517648,-1.7688649200761524
REACTOME_BACTERIAL_INFECTION_PATHWAYS,1.5571229167402538,1.421126795528055,0.13599612121219873
REACTOME_BASE_EXCISION_REPAIR,-1.839840161859267,-1.404545798699559,-0.43529436315970793
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,-1.8046984700793018,-1.542699045907581,-0.26199942417172095
REACTOME_BASIGIN_INTERACTIONS,1.8855436871945002,1.6863316851406291,0.19921200205387102
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,1.575963461508149,1.3505480299166732,0.2254154315914758
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,2.327663935476177,2.2814314948862138,0.04623244058996301
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,-0.7455190573684569,-0.8665404738508187,0.12102141648236175
REACTOME_BETA_DEFENSINS,0.9716673205300148,0.7236864168843965,0.2479809036456183
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,-1.077308552091582,-1.243487008158184,0.16617845606660198
REACTOME_BICARBONATE_TRANSPORTERS,-1.2150818080933905,-0.8234055242054032,-0.39167628388798725
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,-1.370153364302869,-0.6918415071940738,-0.6783118571087952
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,-1.1832033996925897,1.4562549102276918,-2.6394583099202817
REACTOME_BIOLOGICAL_OXIDATIONS,-1.0129323210187808,-0.9198133221526219,-0.09311899886615893
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,1.6071964422852727,1.9588451525799344,-0.3516487102946617
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,-1.7825297096240955,-1.6928434213151282,-0.0896862883089673
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,-0.8505849382207229,-1.1899582689955295,0.3393733307748066
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,-1.227679836344009,-1.2585216091439833,0.030841772799974354
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,0.9709981895734695,0.9175513735994424,0.05344681597402712
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,1.164525537510518,1.1546237824841923,0.00990175502632562
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,1.225806209998922,1.2922712732929444,-0.06646506329402246
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,-0.8124002926377023,-0.8572634983029647,0.04486320566526236
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,-0.692118305813621,0.917951939156386,-1.6100702449700068
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,-0.817706184170029,1.0366531909776453,-1.8543593751476743
REACTOME_CA2_PATHWAY,-0.8813220519991426,-1.1201957486067176,0.23887369660757496
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,1.5632945551351312,1.3748820702969597,0.1884124848381714
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,-0.9761375537644689,-1.0189059630411565,0.04276840927668768
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,1.0770348869629998,-1.1793697385760453,2.2564046255390453
REACTOME_CARDIAC_CONDUCTION,1.3415574981390261,-0.8675874299541028,2.209144928093129
REACTOME_CARDIOGENESIS,-1.1010005194207126,1.2749995778230978,-2.3760000972438107
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,-1.4421953089869926,-1.8180081460686688,0.37581283708167623
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,1.2692262904606433,1.479195540118908,-0.2099692496582648
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,1.3233435132862563,1.4232343234541602,-0.09989081016790391
REACTOME_CARNITINE_SHUTTLE,-1.5947153802264635,-1.2063382402111353,-0.3883771400153282
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,-1.1455197275711697,-0.700999356686582,-0.44452037088458773
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,-0.8182665427705086,-1.5773839994237486,0.75911745665324
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,-1.0778934695924927,-1.126013976483983,0.04812050689149028
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,2.216709072771061,2.0485703710016896,0.1681387017693714
REACTOME_CA_DEPENDENT_EVENTS,0.9118825878571596,-0.9697586576894192,1.8816412455465787
REACTOME_CD209_DC_SIGN_SIGNALING,0.7941968788344327,-0.8669304300155589,1.6611273088499916
REACTOME_CD22_MEDIATED_BCR_REGULATION,-1.1136103920598883,1.718820050794067,-2.8324304428539553
