Term,Name,NES,NOM p-val,FDR q-val,Lead_genes
REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,prerank,2.780066839672528,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_GASTRULATION,prerank,2.7520177262397474,0.0,0.0,ENSG00000166949;ENSG00000130706;ENSG00000168214;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000172939;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000125798;ENSG00000154342;ENSG00000137203;ENSG00000164736;ENSG00000163501;ENSG00000075891;ENSG00000179111;ENSG00000164690;ENSG00000133937;ENSG00000054598;ENSG00000259974;ENSG00000163508;ENSG00000203877;ENSG00000103241;ENSG00000135903;ENSG00000075388;ENSG00000087510;ENSG00000163132;ENSG00000141448
REACTOME_SIGNALING_BY_NOTCH4,prerank,2.72878582117132,0.0,0.0,ENSG00000166949;ENSG00000130706;ENSG00000168214;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000137845;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_ABC_TRANSPORTER_DISORDERS,prerank,2.713109682891945,0.0,0.0,ENSG00000130706;ENSG00000115657;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000165280;ENSG00000135506
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,prerank,2.712144171842101,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000104738;ENSG00000112118
REACTOME_PROGRAMMED_CELL_DEATH,prerank,2.6831271287534593,0.0,0.0,ENSG00000128245;ENSG00000130706;ENSG00000150991;ENSG00000134308;ENSG00000136279;ENSG00000026025;ENSG00000178209;ENSG00000132589;ENSG00000100902;ENSG00000100804;ENSG00000087274;ENSG00000087191;ENSG00000100764;ENSG00000197694;ENSG00000103035;ENSG00000137312;ENSG00000185825;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000170027;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000105401;ENSG00000080824;ENSG00000108953;ENSG00000166913;ENSG00000087470;ENSG00000041357;ENSG00000160789;ENSG00000101182;ENSG00000108424;ENSG00000108561;ENSG00000099341;ENSG00000130724;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_CIRCADIAN_CLOCK,prerank,2.6463590576392613,0.0,0.0,ENSG00000130706;ENSG00000171720;ENSG00000150991;ENSG00000029153;ENSG00000134107;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000213639;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000204435;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000172531;ENSG00000142507
REACTOME_HEDGEHOG_ON_STATE,prerank,2.6440272808283085,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000088826;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,prerank,-2.168023859374404,0.0,0.0,ENSG00000105640;ENSG00000198755;ENSG00000149806;ENSG00000221983;ENSG00000115268;ENSG00000136942;ENSG00000105372;ENSG00000177600;ENSG00000089157;ENSG00000130255;ENSG00000162244;ENSG00000182899;ENSG00000109475;ENSG00000156508;ENSG00000142541;ENSG00000137818;ENSG00000172809;ENSG00000142676;ENSG00000131469;ENSG00000110700;ENSG00000167526;ENSG00000142534;ENSG00000177954;ENSG00000144713;ENSG00000114942;ENSG00000101210;ENSG00000163923;ENSG00000116251;ENSG00000063177;ENSG00000100316;ENSG00000185088;ENSG00000156482;ENSG00000140988;ENSG00000171858;ENSG00000071082;ENSG00000108298;ENSG00000143947;ENSG00000148303;ENSG00000125691;ENSG00000265681;ENSG00000165496;ENSG00000197728;ENSG00000118181;ENSG00000124614;ENSG00000161016;ENSG00000254772;ENSG00000037241;ENSG00000145592;ENSG00000149273;ENSG00000188846;ENSG00000108107;ENSG00000161970;ENSG00000105193;ENSG00000163584;ENSG00000197756;ENSG00000229117;ENSG00000198242;ENSG00000145425;ENSG00000138326;ENSG00000134419;ENSG00000170889;ENSG00000083845;ENSG00000140986;ENSG00000197958;ENSG00000171863;ENSG00000089009;ENSG00000137154
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,prerank,2.8127766525034295,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000165280;ENSG00000135506
